Sample,Study,Disease/Tissue,TNF,MS4A1,EGFR,VEGFA,ERBB2,CTLA4,PDCD1,IL6,TNFSF11,PCSK9
TCGA-DD-AAEE-01,TCGA,Liver Hepatocellular Carcinoma,2.195,1.881,10.79,12.18,12.98,3.314,3.028,1.48,6.268,10.86
GTEX-T6MN-2626-SM-32PMQ,GTEX,Brain,1.74,0.0,9.464,10.33,9.114,1.74,1.74,3.91,0.0,4.918
TCGA-G8-6325-01,TCGA,Diffuse Large B-Cell Lymphoma,8.992,14.23,7.442,9.036,8.469,8.984,9.524,6.792,5.69,4.744
TCGA-BT-A20N-11,TCGA,Bladder Urothelial Carcinoma,6.15,8.496,12.32,11.47,10.73,4.109,4.0,12.96,2.858,4.0
TCGA-DZ-6132-11,TCGA,Kidney Papillary Cell Carcinoma,7.325,8.333,11.96,11.88,13.62,5.104,6.994,5.554,3.204,3.98
TCGA-ER-A19M-06,TCGA,Skin Cutaneous Melanoma,3.466,4.115,6.777,10.75,10.86,8.491,9.067,4.399,4.356,0.7033
TCGA-FU-A3EO-01,TCGA,Cervical & Endocervical Cancer,4.096,3.945,9.287,9.74,13.79,6.05,5.81,3.587,1.825,9.04
TCGA-L5-A88T-01,TCGA,Esophageal Carcinoma,5.543,8.532,14.12,12.57,14.45,6.365,6.674,3.911,3.125,8.08
TCGA-QK-A6II-01,TCGA,Head & Neck Squamous Cell Carcinoma,9.068,3.155,11.86,12.9,12.63,6.491,6.092,7.341,3.155,9.543
TCGA-BH-A0DV-11,TCGA,Breast Invasive Carcinoma,4.364,4.792,12.98,12.07,13.7,3.219,3.93,7.872,4.967,4.696
TCGA-DX-A48O-01,TCGA,Sarcoma,5.133,5.104,12.26,9.947,11.33,3.871,5.266,3.302,0.0,0.7499
TCGA-13-1512-01,TCGA,Ovarian Serous Cystadenocarcinoma,7.253,2.796,9.642,12.14,12.4,4.495,6.1,4.418,4.631,1.99
TCGA-23-2078-01,TCGA,Ovarian Serous Cystadenocarcinoma,7.545,9.746,9.925,12.96,12.88,6.393,7.251,6.881,1.791,4.607
GTEX-11OF3-0008-SM-5S2NH,GTEX,Cells,2.883,0.0,11.86,12.43,11.06,0.0,0.0,5.868,0.0,2.609
GTEX-111CU-2026-SM-5GZZC,GTEX,Muscle,2.508,2.044,10.52,14.1,10.52,1.358,1.358,4.304,0.0,2.044
GTEX-PW2O-1726-SM-2S1OO,GTEX,Muscle,2.308,3.155,10.27,13.64,11.08,0.0,0.0,4.071,0.0,2.308
TCGA-A7-A6VX-01,TCGA,Breast Invasive Carcinoma,6.489,4.229,8.99,12.45,13.48,5.19,4.768,2.991,3.562,2.494
TCGA-VS-A8Q9-01,TCGA,Cervical & Endocervical Cancer,5.761,3.916,12.6,14.04,12.66,5.436,6.044,7.384,7.682,11.25
TCGA-DD-A39V-01,TCGA,Liver Hepatocellular Carcinoma,3.435,2.725,9.598,10.47,10.07,7.292,8.646,3.235,6.975,6.943
TCGA-EJ-A65F-01,TCGA,Prostate Adenocarcinoma,3.334,4.589,11.42,14.15,13.26,4.747,5.081,7.44,0.0,0.0
GTEX-14BIN-0011-R6a-SM-5S2RH,GTEX,Brain,0.0,2.55,10.23,10.61,9.963,0.9789,4.817,1.557,0.0,7.28
GTEX-TMMY-0926-SM-4VBQZ,GTEX,Lung,5.944,7.363,12.47,13.3,11.83,7.195,6.249,11.83,1.892,10.82
TARGET-10-PAPZNK-04,TARGET,Acute Lymphoblastic Leukemia,11.39,7.909,0.0,9.439,10.85,2.128,8.543,0.6433,0.0,1.93
GTEX-ZPU1-1126-SM-4YCF3,GTEX,Skin,6.088,5.216,13.64,11.56,13.26,5.373,3.991,7.429,1.046,6.176
GTEX-13OW5-2626-SM-5MR3M,GTEX,Colon,2.893,8.142,11.6,13.0,11.78,5.482,4.872,7.127,4.739,5.209
TCGA-95-A4VP-01,TCGA,Lung Adenocarcinoma,4.487,10.38,10.14,13.38,12.71,9.853,7.192,9.956,7.246,7.112
GTEX-13RTK-1626-SM-5QGQS,GTEX,Muscle,1.518,1.518,11.04,14.39,10.38,0.0,0.0,2.72,0.0,1.518
TCGA-BP-4340-01,TCGA,Kidney Clear Cell Carcinoma,3.716,4.134,13.36,16.73,12.97,5.615,5.497,6.083,1.409,0.0
TARGET-50-PAKKNS-01,TARGET,Wilms Tumor,2.76,0.6089,10.42,10.95,10.98,0.6089,1.365,2.644,2.968,5.561
TCGA-A6-2682-11,TCGA,Colon Adenocarcinoma,5.457,10.14,12.41,10.88,13.92,5.524,6.486,6.685,6.244,7.45
GTEX-111FC-0326-SM-5GZZ1,GTEX,Muscle,2.542,2.542,10.23,15.11,11.03,0.0,1.77,5.016,0.0,0.0
TCGA-EE-A3AF-06,TCGA,Skin Cutaneous Melanoma,1.483,3.134,5.663,8.687,11.21,5.206,6.992,4.423,3.319,4.15
TARGET-50-PADXAY-01,TARGET,Wilms Tumor,2.39,1.642,8.809,10.81,11.71,1.043,3.399,0.0,3.663,1.642
GTEX-12WS9-0011-R5b-SM-5P9EV,GTEX,Brain,3.054,1.031,10.77,11.68,11.26,0.0,4.058,8.9,0.0,2.636
TCGA-HC-8261-01,TCGA,Prostate Adenocarcinoma,3.584,6.867,13.66,13.87,13.56,6.117,4.347,4.892,2.409,2.173
TCGA-AX-A3G3-01,TCGA,Uterine Corpus Endometrioid Carcinoma,7.748,4.014,11.29,13.67,13.0,7.59,8.386,6.79,4.366,6.564
GTEX-12ZZX-1326-SM-5DUWI,GTEX,Esophagus,4.585,7.892,12.2,14.54,13.52,5.277,4.854,11.85,1.402,6.129
TCGA-85-A512-01,TCGA,Lung Squamous Cell Carcinoma,4.898,4.207,11.86,14.47,12.61,6.233,4.337,5.563,5.394,11.62
TCGA-ET-A25P-01,TCGA,Thyroid Carcinoma,2.388,8.068,10.96,14.83,13.92,1.64,5.209,2.062,2.878,0.0
TCGA-DJ-A3VI-01,TCGA,Thyroid Carcinoma,2.048,10.92,12.62,12.88,13.68,4.895,4.817,3.451,1.854,0.6067
TCGA-55-8302-01,TCGA,Lung Adenocarcinoma,5.807,7.817,11.69,12.95,14.36,7.022,6.818,5.962,6.082,5.962
GTEX-111FC-2026-SM-5GZYO,GTEX,Prostate,2.797,5.05,11.58,13.7,12.93,4.561,4.886,4.7,0.0,3.395
TCGA-44-4112-01,TCGA,Lung Adenocarcinoma,4.731,8.795,14.14,14.04,12.95,7.345,5.512,8.023,5.097,5.837
TCGA-EJ-A65E-01,TCGA,Prostate Adenocarcinoma,2.412,3.946,11.36,13.71,13.02,4.712,4.135,4.827,0.7828,4.672
TCGA-AF-3911-01,TCGA,Rectum Adenocarcinoma,6.366,5.07,11.75,13.31,13.09,5.539,4.482,8.342,6.346,12.01
GTEX-117YW-2226-SM-5N9DB,GTEX,Stomach,6.028,3.207,12.19,14.52,11.95,2.924,6.922,11.44,2.571,4.684
TCGA-UF-A7JJ-01,TCGA,Head & Neck Squamous Cell Carcinoma,7.076,8.023,12.41,13.35,11.88,8.785,8.088,4.666,6.133,10.44
GTEX-Z93S-0226-SM-5HL7R,GTEX,Adipose,3.77,3.911,12.82,11.66,10.56,4.464,5.907,5.058,0.0,1.266
TCGA-KN-8419-11,TCGA,Kidney Chromophobe,3.495,2.458,11.33,12.02,13.25,3.32,4.036,9.566,2.458,4.902
TCGA-05-4430-01,TCGA,Lung Adenocarcinoma,6.503,7.227,11.35,13.9,13.33,7.026,6.227,5.763,4.719,6.878
TCGA-AR-A255-01,TCGA,Breast Invasive Carcinoma,6.331,6.838,10.7,10.54,13.82,7.178,5.196,5.806,5.409,4.642
TCGA-WB-A81F-01,TCGA,Pheochromocytoma & Paraganglioma,3.401,2.45,7.303,13.57,8.466,3.91,3.782,3.847,3.91,0.7118
GTEX-T2IS-1126-SM-4DM6Z,GTEX,Nerve,1.297,3.82,12.36,11.45,13.08,3.285,4.688,5.386,0.0,8.119
TCGA-V4-A9EQ-01,TCGA,Uveal Melanoma,1.581,0.0,7.47,8.533,12.16,0.0,3.995,0.9971,0.0,0.0
TCGA-HZ-7919-01,TCGA,Pancreatic Adenocarcinoma,4.731,4.656,12.15,12.62,13.6,7.031,5.607,4.935,9.129,8.446
GTEX-13N1W-0526-SM-5MR4I,GTEX,Muscle,1.679,1.679,11.6,14.89,11.04,1.679,2.434,6.16,3.586,3.829
GTEX-Y8E4-0726-SM-4WWFN,GTEX,Adipose,3.322,3.615,12.87,13.01,10.87,3.476,2.129,8.894,0.0,0.0
TCGA-CN-5366-01,TCGA,Head & Neck Squamous Cell Carcinoma,4.441,1.752,14.35,11.9,12.91,6.159,6.008,5.981,4.936,13.02
TARGET-50-PAJLSP-01,TARGET,Wilms Tumor,3.778,1.936,7.529,13.04,12.83,2.879,4.517,0.771,3.621,4.799
TCGA-AR-A1AT-01,TCGA,Breast Invasive Carcinoma,5.359,8.211,7.636,12.1,18.19,6.738,7.065,4.258,5.097,3.533
TCGA-E5-A2PC-01,TCGA,Bladder Urothelial Carcinoma,3.355,4.843,11.61,13.38,13.05,6.404,6.44,2.122,1.061,6.626
GTEX-U3ZM-0002-SM-3NMDM,GTEX,Cells,12.51,14.5,5.098,11.37,8.47,0.0,10.44,3.573,8.002,0.0
TCGA-A2-A0CU-01,TCGA,Breast Invasive Carcinoma,6.021,6.431,9.383,11.36,14.5,3.987,3.583,8.624,3.865,2.286
TCGA-V9-A7HT-01,TCGA,Kidney Papillary Cell Carcinoma,6.129,5.709,12.39,10.67,13.0,4.901,5.774,5.244,2.725,0.0
GTEX-12WS9-0011-R6a-SM-5P9EW,GTEX,Brain,2.991,1.578,10.33,10.69,10.97,0.9949,5.119,3.691,0.9949,4.45
GTEX-Y3I4-1026-SM-4TT2C,GTEX,Esophagus,3.824,3.619,12.41,10.56,11.71,3.379,4.959,7.355,2.511,5.123
GTEX-ZLV1-1826-SM-5FQU5,GTEX,Adipose,2.384,3.772,12.55,14.25,10.05,4.533,2.384,6.163,0.0,2.649
TCGA-YL-A8HM-01,TCGA,Prostate Adenocarcinoma,4.127,6.454,12.52,10.98,12.12,4.536,6.631,2.196,2.196,1.282
TCGA-CD-A486-01,TCGA,Stomach Adenocarcinoma,9.422,4.338,13.52,15.57,13.6,6.188,6.073,6.272,6.526,11.03
GTEX-NL4W-0011-R9a-SM-2I3G1,GTEX,Brain,5.394,1.402,8.196,11.66,8.718,4.123,3.44,6.661,0.0,3.44
TCGA-DA-A95Y-06,TCGA,Skin Cutaneous Melanoma,1.427,4.467,4.672,10.29,7.443,7.706,3.105,3.582,3.941,10.43
TCGA-UY-A9PE-01,TCGA,Bladder Urothelial Carcinoma,2.357,6.206,11.69,11.8,13.74,3.882,4.238,4.238,2.7,5.696
GTEX-111YS-1126-SM-5GZYQ,GTEX,Stomach,3.347,3.347,11.12,12.92,12.36,4.13,4.924,6.697,3.06,4.738
TCGA-CQ-7071-01,TCGA,Head & Neck Squamous Cell Carcinoma,7.485,3.192,13.08,12.87,12.46,7.528,6.637,6.57,4.254,9.596
GTEX-ZV7C-0526-SM-51MRB,GTEX,Heart,4.797,6.409,10.51,14.94,11.76,5.051,9.56,15.42,1.479,3.756
TCGA-D1-A3DG-01,TCGA,Uterine Corpus Endometrioid Carcinoma,2.984,0.0,10.2,11.2,14.21,2.853,4.908,4.168,0.7579,8.687
TCGA-XF-A9SV-01,TCGA,Bladder Urothelial Carcinoma,2.411,4.826,9.881,13.77,14.66,2.411,3.646,4.671,4.751,1.956
TCGA-24-1924-01,TCGA,Ovarian Serous Cystadenocarcinoma,8.873,4.964,9.954,12.54,12.27,7.294,7.529,9.229,0.6929,3.441
TARGET-30-PASMJG-01,TARGET,Neuroblastoma,3.686,4.766,12.07,12.75,12.69,7.888,6.351,10.69,2.309,2.893
TCGA-DX-A6BG-01,TCGA,Sarcoma,3.926,3.666,10.84,11.47,10.6,6.252,7.266,6.343,10.72,7.289
TCGA-NA-A4QY-01,TCGA,Uterine Carcinosarcoma,5.955,0.0,11.44,11.57,13.28,2.075,6.532,6.866,4.554,8.57
GTEX-WY7C-2426-SM-3NB2V,GTEX,Adipose,0.9411,2.485,12.64,13.53,10.32,3.214,3.59,3.888,0.0,4.47
TCGA-EE-A184-06,TCGA,Skin Cutaneous Melanoma,4.045,5.302,4.758,9.048,11.03,6.517,8.088,2.576,2.418,1.516
TCGA-E7-A6MF-01,TCGA,Bladder Urothelial Carcinoma,4.13,1.908,12.96,12.55,13.91,3.949,5.173,0.7553,3.099,2.358
GTEX-1399S-2126-SM-5J2MH,GTEX,Ovary,3.455,4.083,12.06,10.67,11.71,4.854,6.299,5.422,0.0,2.804
GTEX-ZTPG-0008-SM-4YCEK,GTEX,Cells,2.096,4.025,12.42,12.63,11.68,1.065,0.0,8.091,0.0,5.852
TCGA-MM-A84U-01,TCGA,Kidney Clear Cell Carcinoma,6.249,5.302,12.13,15.34,12.71,4.719,7.44,6.553,0.9546,1.524
TCGA-CV-6933-01,TCGA,Head & Neck Squamous Cell Carcinoma,8.347,3.909,17.9,13.4,13.07,5.996,5.138,6.815,5.311,12.77
TCGA-LN-A8HZ-01,TCGA,Esophageal Carcinoma,5.446,5.255,15.18,13.07,12.28,5.322,4.609,7.745,5.035,12.27
TCGA-BH-A1ET-11,TCGA,Breast Invasive Carcinoma,5.621,6.895,12.97,11.39,13.05,6.281,3.437,9.287,2.825,4.302
TCGA-DS-A0VL-01,TCGA,Cervical & Endocervical Cancer,6.392,5.913,12.34,11.73,12.92,7.245,6.665,6.372,4.783,9.05
TARGET-30-PASZPI-01,TARGET,Neuroblastoma,7.146,12.04,9.082,11.12,10.15,6.339,6.928,4.858,6.286,1.97
GTEX-ZTX8-1526-SM-5N9GI,GTEX,Adipose,1.967,2.77,13.17,13.89,10.2,4.206,5.572,6.571,0.9781,0.0
GTEX-V1D1-0726-SM-4JBH7,GTEX,Pancreas,5.158,4.317,11.17,13.26,12.3,4.427,4.877,6.556,2.519,8.79
GTEX-REY6-0626-SM-2TF4G,GTEX,Nerve,3.578,5.57,13.52,12.09,13.01,5.651,6.805,5.869,0.0,6.907
TCGA-63-6202-01,TCGA,Lung Squamous Cell Carcinoma,6.182,7.735,12.95,14.03,12.47,7.66,8.502,8.106,2.741,4.701
TCGA-SB-A76C-01,TCGA,Testicular Germ Cell Tumor,5.109,9.659,8.641,8.154,11.05,6.722,7.63,6.992,2.319,9.328
TCGA-FS-A1YY-06,TCGA,Skin Cutaneous Melanoma,1.823,1.986,7.542,11.48,10.94,2.266,2.604,4.47,3.684,7.233
TCGA-46-3767-01,TCGA,Lung Squamous Cell Carcinoma,7.256,10.12,13.36,12.73,12.1,6.824,6.541,9.065,6.054,8.404
GTEX-13RTJ-2926-SM-5Q5DE,GTEX,Pituitary,1.086,3.147,9.764,10.24,10.42,2.457,6.893,7.242,2.127,2.725
TCGA-EE-A3J4-06,TCGA,Skin Cutaneous Melanoma,4.232,3.265,5.442,10.43,11.6,5.364,5.344,3.503,1.721,1.445
GTEX-13CF3-2226-SM-5J2MX,GTEX,Artery,0.0,1.003,11.95,11.21,11.85,3.912,1.003,6.028,2.004,3.59
TCGA-2G-AALO-01,TCGA,Testicular Germ Cell Tumor,4.464,7.796,11.28,11.95,14.23,5.175,4.804,2.174,8.628,7.968
GTEX-P4QS-0726-SM-3NMCZ,GTEX,Esophagus,2.566,4.583,12.53,11.06,11.97,0.864,3.642,5.479,0.0,2.098
TCGA-E2-A1IH-01,TCGA,Breast Invasive Carcinoma,6.25,10.66,9.646,11.21,13.32,7.656,6.532,9.083,7.472,4.553
TCGA-13-1496-01,TCGA,Ovarian Serous Cystadenocarcinoma,7.894,2.641,10.69,11.41,12.59,6.089,6.175,5.767,7.324,5.065
TCGA-B0-5095-01,TCGA,Kidney Clear Cell Carcinoma,5.502,7.871,13.87,16.1,11.82,5.281,7.287,8.855,3.364,3.26
TARGET-30-PASUYG-01,TARGET,Neuroblastoma,5.01,2.974,7.603,11.19,7.441,3.635,4.269,3.721,2.017,0.8169
TCGA-CI-6622-01,TCGA,Rectum Adenocarcinoma,4.078,3.592,10.84,12.38,12.75,4.192,4.018,6.054,5.521,11.0
TCGA-BP-4167-01,TCGA,Kidney Clear Cell Carcinoma,5.857,7.291,10.95,13.84,11.3,6.073,9.458,6.339,2.609,0.8878
GTEX-13X6I-0011-R11a-SM-5P9HN,GTEX,Brain,1.524,1.931,8.511,10.53,8.47,1.524,0.9546,3.615,0.0,11.39
GTEX-144GN-2526-SM-5LU54,GTEX,Nerve,0.0,4.293,12.01,12.33,13.21,4.098,4.381,7.297,0.0,5.859
TCGA-HW-7486-01,TCGA,Brain Lower Grade Glioma,4.868,0.6668,14.2,8.515,9.905,3.111,1.466,2.178,0.0,0.6668
TCGA-ZP-A9D2-01,TCGA,Liver Hepatocellular Carcinoma,3.401,7.452,11.19,12.82,11.2,4.657,5.647,2.066,5.451,6.66
TCGA-BH-A18R-01,TCGA,Breast Invasive Carcinoma,8.263,7.525,10.22,11.07,16.34,5.528,4.324,6.975,2.42,2.559
TARGET-20-PAMYAS-09,TARGET,Acute Myeloid Leukemia,7.433,7.707,0.0,11.25,5.22,6.503,5.766,7.518,0.0,0.0
GTEX-13VXT-0926-SM-5LU5K,GTEX,Adipose,7.126,4.059,12.01,14.52,11.02,5.016,6.243,12.87,2.542,3.707
TCGA-BA-7269-01,TCGA,Head & Neck Squamous Cell Carcinoma,6.352,1.734,14.4,10.84,11.83,6.162,5.423,7.979,6.614,7.377
TCGA-WZ-A8D5-01,TCGA,Testicular Germ Cell Tumor,6.336,9.501,8.883,9.651,10.29,8.835,9.578,6.694,4.374,6.449
TCGA-HU-A4G3-01,TCGA,Stomach Adenocarcinoma,4.618,7.209,12.01,11.75,13.71,3.595,4.491,4.773,5.568,10.77
GTEX-131XG-1726-SM-5LZUR,GTEX,Small Intestine,6.387,13.55,11.2,11.59,11.62,9.695,7.597,6.034,6.078,7.343
TCGA-OR-A5KY-01,TCGA,Adrenocortical Cancer,2.421,1.294,10.7,12.79,8.07,2.604,3.48,5.134,0.0,5.01
TCGA-ER-A19A-06,TCGA,Skin Cutaneous Melanoma,6.319,8.144,10.56,11.06,10.78,8.646,9.981,8.181,5.788,3.852
TCGA-NH-A6GC-01,TCGA,Colon Adenocarcinoma,3.054,1.78,10.65,13.13,12.55,5.406,4.356,4.073,6.566,9.624
TCGA-DX-A48K-01,TCGA,Sarcoma,5.404,3.212,11.2,10.31,10.94,6.815,5.09,4.569,3.212,6.091
TCGA-DD-A73B-01,TCGA,Liver Hepatocellular Carcinoma,0.0,0.8857,13.1,12.56,12.73,0.0,1.825,1.431,0.0,11.67
GTEX-13QJ3-0726-SM-5SI68,GTEX,Muscle,0.0,2.448,11.22,13.98,11.12,0.0,0.0,5.845,0.0,2.448
GTEX-13FTY-2226-SM-5J1ND,GTEX,Breast,5.692,7.431,11.69,13.37,13.62,5.521,5.152,7.991,5.369,5.198
TCGA-AC-A4ZE-01,TCGA,Breast Invasive Carcinoma,2.771,4.458,8.708,11.66,14.12,3.905,6.398,7.014,1.115,1.736
GTEX-Q2AH-0926-SM-48TZK,GTEX,Pancreas,5.7,5.505,11.42,12.46,12.02,6.097,5.505,5.462,3.982,7.99
GTEX-TKQ2-0426-SM-4DXUO,GTEX,Pancreas,5.004,1.936,11.42,13.3,11.85,0.0,3.622,8.559,2.734,9.444
GTEX-U3ZH-0526-SM-3DB75,GTEX,Lung,6.391,9.061,11.39,13.02,11.6,7.488,6.154,7.657,1.995,7.494
TCGA-P5-A5F1-01,TCGA,Brain Lower Grade Glioma,5.088,3.117,12.28,10.17,10.09,2.487,2.487,3.06,0.0,2.025
TCGA-DK-AA6X-01,TCGA,Bladder Urothelial Carcinoma,5.648,8.714,11.71,10.48,13.35,7.089,4.987,4.186,4.085,6.77
GTEX-145LV-1426-SM-5Q5BV,GTEX,Esophagus,2.983,2.487,12.41,11.3,11.38,1.724,1.724,4.914,0.0,3.889
GTEX-146FR-0226-SM-5Q5F6,GTEX,Adipose,6.822,7.577,12.44,13.5,10.48,5.748,6.121,12.9,1.863,3.355
TCGA-AB-2877-03,TCGA,Acute Myeloid Leukemia,4.817,8.354,0.0,7.46,8.431,5.551,7.643,1.433,0.0,0.0
TCGA-BR-7722-01,TCGA,Stomach Adenocarcinoma,6.031,7.278,11.42,13.68,13.15,5.434,5.721,3.773,7.846,6.997
GTEX-11O72-0006-SM-5O9DB,GTEX,Whole Blood,6.279,8.624,2.611,13.55,8.335,6.889,9.49,0.0,1.83,0.0
GTEX-QXCU-0826-SM-2TC6F,GTEX,Heart,3.69,4.633,10.63,13.02,11.17,4.633,5.198,8.279,0.0,5.198
TCGA-BI-A0VR-01,TCGA,Cervical & Endocervical Cancer,5.198,7.965,12.63,13.05,12.76,8.489,7.689,7.47,5.263,11.26
GTEX-ZLV1-1426-SM-4WWES,GTEX,Breast,5.1,4.56,12.85,12.78,12.77,6.053,4.764,8.119,3.024,2.525
TCGA-BP-4344-01,TCGA,Kidney Clear Cell Carcinoma,7.499,5.469,13.26,16.73,11.85,4.142,3.459,6.819,4.345,1.222
GTEX-RWS6-1126-SM-47JXC,GTEX,Pancreas,3.967,4.358,11.34,13.08,12.23,1.782,1.782,3.427,0.0,8.073
TCGA-AR-A24H-01,TCGA,Breast Invasive Carcinoma,5.32,6.202,7.596,10.6,14.47,6.848,5.694,5.96,2.304,0.0
GTEX-XUZC-1826-SM-4BRVO,GTEX,Adipose,2.761,4.957,12.89,13.22,10.39,4.103,4.592,5.562,1.728,2.492
TCGA-F4-6570-01,TCGA,Colon Adenocarcinoma,4.439,5.283,11.6,12.52,13.06,6.48,7.611,5.209,5.283,11.15
GTEX-WVJS-0126-SM-4MVOT,GTEX,Skin,5.593,2.213,13.06,11.7,13.45,4.262,3.419,7.34,1.776,7.374
GTEX-1122O-1526-SM-5N9CL,GTEX,Colon,3.993,2.801,12.34,13.33,13.94,4.548,5.315,1.995,2.801,8.122
TCGA-E8-A432-01,TCGA,Thyroid Carcinoma,6.711,6.925,11.79,14.49,13.89,4.422,6.315,5.621,8.408,2.642
TCGA-MZ-A5BI-01,TCGA,Head & Neck Squamous Cell Carcinoma,10.17,9.341,11.88,13.48,11.59,9.745,8.424,8.38,5.832,9.431
GTEX-T5JC-0526-SM-32PM7,GTEX,Adipose,4.021,5.038,12.58,13.4,10.12,4.021,3.595,9.382,0.0,1.915
TCGA-EJ-8474-01,TCGA,Prostate Adenocarcinoma,2.167,5.619,11.8,10.69,12.96,3.429,4.361,2.719,0.0,2.375
TCGA-A6-2684-11,TCGA,Colon Adenocarcinoma,5.827,8.235,11.65,11.53,14.26,5.421,5.696,3.979,4.679,7.444
TCGA-DU-7011-01,TCGA,Brain Lower Grade Glioma,5.11,2.419,13.73,9.528,9.793,4.295,2.241,3.678,0.697,0.697
TCGA-G4-6627-01,TCGA,Colon Adenocarcinoma,5.652,8.591,11.71,12.42,12.76,6.516,6.281,7.595,6.894,9.834
GTEX-ZVZP-0626-SM-59HL5,GTEX,Pancreas,2.684,2.684,11.97,12.77,12.18,0.0,3.042,6.396,3.772,8.841
GTEX-Y8E4-2026-SM-5IFJB,GTEX,Skin,4.629,5.326,13.95,11.79,13.79,4.15,3.904,4.361,2.997,6.308
TCGA-J9-A8CP-01,TCGA,Prostate Adenocarcinoma,3.453,2.98,11.09,14.47,13.05,4.218,3.453,5.553,0.8202,0.0
TARGET-50-PAKZER-01,TARGET,Wilms Tumor,0.0,2.285,11.62,11.53,12.18,2.519,2.151,1.841,0.8958,2.407
TCGA-ZF-A9R9-01,TCGA,Bladder Urothelial Carcinoma,5.883,5.716,10.6,11.89,14.1,6.004,4.812,6.428,5.487,4.519
GTEX-13FLV-0011-R10b-SM-5LZZ2,GTEX,Brain,2.966,2.966,11.03,11.52,10.09,3.692,2.611,4.82,0.0,3.871
TCGA-P8-A6RX-01,TCGA,Pheochromocytoma & Paraganglioma,3.31,4.297,12.23,15.36,9.298,3.719,4.517,7.656,5.028,0.0
GTEX-11LCK-0426-SM-5A5M8,GTEX,Lung,4.927,7.996,12.51,13.12,11.76,6.513,5.685,7.489,1.036,11.25
TCGA-JY-A6FE-01,TCGA,Esophageal Carcinoma,4.065,2.0,12.23,11.07,12.6,6.588,6.495,7.299,6.554,10.65
TCGA-A8-A099-01,TCGA,Breast Invasive Carcinoma,4.137,3.725,7.154,11.11,14.02,4.593,3.465,2.02,2.537,3.725
GTEX-Y5V5-2526-SM-4VBQ4,GTEX,Muscle,1.71,4.699,11.46,12.59,11.07,2.739,4.635,5.765,2.47,0.0
GTEX-13U4I-2426-SM-5LU34,GTEX,Colon,3.29,2.252,11.93,11.47,11.44,2.589,2.862,5.935,0.0,4.113
GTEX-1314G-1826-SM-5LZVA,GTEX,Nerve,0.0,4.369,12.14,12.74,13.13,4.369,5.077,7.789,0.0,7.683
TCGA-CM-6679-01,TCGA,Colon Adenocarcinoma,6.153,7.04,11.0,12.34,13.35,5.957,5.622,4.905,8.267,8.896
TCGA-KL-8342-01,TCGA,Kidney Chromophobe,2.262,2.97,13.95,12.99,13.03,2.262,4.525,3.54,1.333,5.227
GTEX-13FLW-0011-R6b-SM-5L3EN,GTEX,Brain,1.236,1.236,11.17,10.81,10.05,2.341,3.991,2.341,0.0,6.681
GTEX-ZYW4-0826-SM-5GIDG,GTEX,Breast,1.435,6.279,12.51,14.86,10.88,4.905,5.328,8.921,1.435,4.422
TCGA-G8-6907-01,TCGA,Diffuse Large B-Cell Lymphoma,8.895,15.93,6.536,7.983,10.17,5.872,9.795,0.0,5.209,1.485
TCGA-HV-A5A4-01,TCGA,Pancreatic Adenocarcinoma,5.697,3.82,11.16,13.84,13.65,5.114,5.276,3.5,8.373,9.264
TCGA-DC-6157-01,TCGA,Rectum Adenocarcinoma,3.121,4.919,11.69,12.49,13.07,6.119,5.124,4.723,7.774,11.24
TCGA-NQ-A638-01,TCGA,Mesothelioma,3.84,4.141,12.32,11.47,12.34,5.469,6.925,3.168,5.182,9.712
TCGA-EL-A3ZR-11,TCGA,Thyroid Carcinoma,6.33,4.666,12.3,14.53,12.96,6.037,6.379,9.517,1.709,2.314
TCGA-VS-A9UU-01,TCGA,Cervical & Endocervical Cancer,6.134,6.916,12.55,11.4,12.87,5.435,4.978,6.783,3.671,11.24
TCGA-66-2790-01,TCGA,Lung Squamous Cell Carcinoma,6.849,7.904,13.84,13.63,12.28,7.227,8.586,9.8,7.382,10.02
GTEX-Y5V5-0001-SM-4V6FZ,GTEX,Cells,11.54,13.95,4.603,12.34,8.804,2.77,9.574,5.333,8.294,0.8733
TCGA-75-7027-01,TCGA,Lung Adenocarcinoma,5.307,5.727,10.23,13.41,12.45,6.661,6.076,6.646,11.12,9.233
GTEX-Y5V6-2126-SM-4WWFX,GTEX,Breast,3.072,4.537,12.4,13.26,10.26,2.388,4.663,7.348,1.041,4.164
K-562-SM-33HC7,K,Cells,3.824,2.101,3.353,13.53,8.437,1.212,7.239,5.169,0.0,12.4
TCGA-V1-A8WS-01,TCGA,Prostate Adenocarcinoma,1.454,4.413,11.63,11.56,13.18,3.516,5.338,3.72,1.454,1.731
TCGA-CE-A3MD-01,TCGA,Thyroid Carcinoma,5.723,2.95,11.98,14.33,13.01,4.904,5.274,3.557,5.086,0.7424
GTEX-NL4W-0011-R10A-SM-2I3DY,GTEX,Brain,4.778,0.0,10.74,11.42,9.601,3.294,1.304,6.992,1.304,3.971
GTEX-R55E-0426-SM-2TC65,GTEX,Nerve,0.0,4.408,12.45,12.04,13.3,3.274,2.761,8.861,1.96,6.166
TCGA-HU-A4GD-01,TCGA,Stomach Adenocarcinoma,6.159,7.636,12.02,13.8,14.52,7.183,6.408,5.367,7.28,10.79
